"first_name","middle_name","last_name","full_name","gender","origin"
"pierre","paul","grivel","pierre paul grivel","m","zbmath"
"raul","","serapioni","raul serapioni","m","zbmath"
"adriano","","moura","adriano moura","m","zbmath"
"ralf","","kieser","ralf kieser","m","zbmath"
"guillermo","","leon-de-la-barra","guillermo leon-de-la-barra","m","zbmath"
"catherine","bouloux","marquet","catherine bouloux marquet","f","zbmath"
"sabina","","pannek","sabina pannek","f","zbmath"
"ralf","","kemper","ralf kemper","m","zbmath"
"karl","","breitung","karl breitung","m","zbmath"
"clemens","","bernhardson","clemens bernhardson","m","zbmath"
"gregory","","gelles","gregory gelles","m","zbmath"
"lester","","arguelles","lester arguelles","m","zbmath"
"claude","joachim","hamann","claude joachim hamann","m","zbmath"
"martin","","slawski","martin slawski","m","zbmath"
"vlad","","timofte","vlad timofte","m","zbmath"
"pasquale","","valentini","pasquale valentini","m","zbmath"
"lourdes","","fernandes","lourdes fernandes","f","zbmath"
"bruno","","crepon","bruno crepon","m","zbmath"
"thomas","","farver","thomas farver","m","zbmath"
"michael","","porter","michael porter","m","zbmath"
"jorge","drumond","silva","jorge drumond silva","m","zbmath"
"lewis","","hildyard","lewis hildyard","m","zbmath"
"klaus","","haverkamp","klaus haverkamp","m","zbmath"
"jost","hinrich","eschenburg","jost hinrich eschenburg","m","zbmath"
"takashi","","aoki","takashi aoki","m","zbmath"
"mirko","","muller","mirko muller","m","zbmath"
"herman","","erlichson","herman erlichson","m","zbmath"
"jim","","clay","jim clay","m","zbmath"
"jerzy","","jezierski","jerzy jezierski","m","zbmath"
"vitali","","wachtel","vitali wachtel","m","zbmath"
"martin","","soukenka","martin soukenka","m","zbmath"
"anatoly","","preygel","anatoly preygel","m","zbmath"
"tatiana","","filippova","tatiana filippova","f","zbmath"
"joachim","","apel","joachim apel","m","zbmath"
"james","","mccollum","james mccollum","m","zbmath"
"faton","","merovci","faton merovci","m","zbmath"
"goswin","","eisen","goswin eisen","m","zbmath"
"silke","","gehrke","silke gehrke","f","zbmath"
"samy","","tindel","samy tindel","m","zbmath"
"daniel","","mcdonald","daniel mcdonald","m","zbmath"
"paul","","bosch","paul bosch","m","zbmath"
"dominic","","klyve","dominic klyve","m","zbmath"
"mario","","dangelo","mario dangelo","m","zbmath"
"chris","","lynd","chris lynd","m","zbmath"
"marko","","matic","marko matic","m","zbmath"
"andras","","nagy","andras nagy","m","zbmath"
"boris","yakovlevich","levin","boris yakovlevich levin","m","zbmath"
"sergey","","lototsky","sergey lototsky","m","zbmath"
"polychronis","","xenikakis","polychronis xenikakis","m","zbmath"
"lionel","","bayle","lionel bayle","m","zbmath"
"jonathan","","goodman","jonathan goodman","m","zbmath"
"robert","","cahn","robert cahn","m","zbmath"
"john","","mardo","john mardo","m","zbmath"
"alaa","","abdel-hamid","alaa abdel-hamid","m","zbmath"
"mohamed","","mosbah","mohamed mosbah","m","zbmath"
"elena","","tatievskaya","elena tatievskaya","f","zbmath"
"marcel","","polakovic","marcel polakovic","m","zbmath"
"rafal","","kolodziej","rafal kolodziej","m","zbmath"
"gheorghe","","bantas","gheorghe bantas","m","zbmath"
"rachel","","fouladi","rachel fouladi","f","zbmath"
"magdalena","","bojarska","magdalena bojarska","f","zbmath"
"jungmin","","ahn","jungmin ahn","m","zbmath"
"zeynep","","kalaylioglu","zeynep kalaylioglu","f","zbmath"
"adam","","szpiro","adam szpiro","m","zbmath"
"elias","","wagner","elias wagner","m","zbmath"
"marek","cezary","zdun","marek cezary zdun","m","zbmath"
"janusz","","gorski","janusz gorski","m","zbmath"
"bahri","","turan","bahri turan","m","zbmath"
"luis","","giraldo-montes","luis giraldo-montes","m","zbmath"
"shahid","","kamal","shahid kamal","m","zbmath"
"joseph","","conrad","joseph conrad","m","zbmath"
"milovan","","jovanovic","milovan jovanovic","m","zbmath"
"mustapha","","cheggag","mustapha cheggag","m","zbmath"
"jesus","","fernandez-sanchez","jesus fernandez-sanchez","m","zbmath"
"jaume","","jordan","jaume jordan","m","zbmath"
"mauricio","","costa","mauricio costa","m","zbmath"
"stephen","","sturgeon","stephen sturgeon","m","zbmath"
"omer","","altun","omer altun","m","zbmath"
"hans","","wolters","hans wolters","m","zbmath"
"daniel","","vallieres","daniel vallieres","m","zbmath"
"rafael","","castro","rafael castro","m","zbmath"
"danny","","beckers","danny beckers","m","zbmath"
"pierre","loic","meliot","pierre loic meliot","m","zbmath"
"claudio","","jerez","claudio jerez","m","zbmath"
"steven","","tedford","steven tedford","m","zbmath"
"pedro","","jordan","pedro jordan","m","zbmath"
"oksana","","medvid","oksana medvid","f","zbmath"
"mark","","weil","mark weil","m","zbmath"
"manuel","","marques","manuel marques","m","zbmath"
"ekaterina","","eliseeva","ekaterina eliseeva","f","zbmath"
"eugen","","krug","eugen krug","m","zbmath"
"william","","vautaw","william vautaw","m","zbmath"
"richard","","mansfield","richard mansfield","m","zbmath"
"chokri","","abdelkefi","chokri abdelkefi","m","zbmath"
"luis","","sequeira","luis sequeira","m","zbmath"
"muhammad","","numan","muhammad numan","m","zbmath"
"gregory","","werner","gregory werner","m","zbmath"
"annie","","raymond","annie raymond","f","zbmath"
"nicolas","","gastineau","nicolas gastineau","m","zbmath"
"leonardo","","aguirre","leonardo aguirre","m","zbmath"
"gozde","","ozkan","gozde ozkan","f","zbmath"
"ross","","drynan","ross drynan","m","zbmath"
"matthias","","birkner","matthias birkner","m","zbmath"
"douglas","john","white","douglas john white","m","zbmath"
"davy","ho","chan","davy ho chan","m","zbmath"
"yolanda","","moreno","yolanda moreno","f","zbmath"
"bartlomiej","","bosek","bartlomiej bosek","m","zbmath"
"isabel","fraga","alves","isabel fraga alves","f","zbmath"
"jin","ho","choi","jin ho choi","m","zbmath"
"ruben","","agapito","ruben agapito","m","zbmath"
"bhopinder","","singh","bhopinder singh","m","zbmath"
"pavel","","jelinek","pavel jelinek","m","zbmath"
"andrei","","susea","andrei susea","m","zbmath"
"david","","mckinnon","david mckinnon","m","zbmath"
"john","ren","chen","john ren chen","m","zbmath"
"paul","","horwich","paul horwich","m","zbmath"
"darrel","","hankerson","darrel hankerson","m","zbmath"
"oumar","","diankha","oumar diankha","m","zbmath"
"toshiyuki","","morita","toshiyuki morita","m","zbmath"
"michael","","miesener","michael miesener","m","zbmath"
"carrie","","yam","carrie yam","f","zbmath"
"torsten","","weller","torsten weller","m","zbmath"
"kathrin","","fischer","kathrin fischer","f","zbmath"
"hector","","allende","hector allende","m","zbmath"
"miroslav","","asic","miroslav asic","m","zbmath"
"michel","","brestovski","michel brestovski","m","zbmath"
"outi","elina","maasalo","outi elina maasalo","f","zbmath"
"oliver","","pfaff","oliver pfaff","m","zbmath"
"andrew","","clark","andrew clark","m","zbmath"
"david","","stern","david stern","m","zbmath"
"dirk","","langemann","dirk langemann","m","zbmath"
"marie","francoise","delcroix","marie francoise delcroix","f","zbmath"
"hatem","","najar","hatem najar","m","zbmath"
"vladimir","","lifshitz","vladimir lifshitz","m","zbmath"
"mihyun","","kang","mihyun kang","f","zbmath"
"tatsuo","","sakai","tatsuo sakai","m","zbmath"
"alexander","","doktor","alexander doktor","m","zbmath"
