question,answer,type,correct fre,error fre,correct rate,image_url
a =,a,letter_input,1,0,100.0,
b =,b,letter_input,1,0,100.0,
c =,c,letter_input,0,0,0.0,
d =,d,letter_input,3,0,100.0,
e =,e,letter_input,1,0,100.0,
f =,f,letter_input,1,0,100.0,
g =,g,letter_input,0,0,0.0,
h =,h,letter_input,0,1,0.0,
i =,i,letter_input,0,0,0.0,
j =,j,letter_input,0,0,0.0,
k =,k,letter_input,0,0,0.0,
l =,l,letter_input,1,1,50.0,
m =,m,letter_input,2,0,100.0,
n =,n,letter_input,2,0,100.0,
o =,o,letter_input,0,0,0.0,
p =,p,letter_input,0,0,0.0,
q =,q,letter_input,1,1,50.0,
r =,r,letter_input,1,0,100.0,
s =,s,letter_input,1,0,100.0,
t =,t,letter_input,0,1,0.0,
u =,u,letter_input,0,0,0.0,
v =,v,letter_input,0,0,0.0,
w =,w,letter_input,3,0,100.0,
x =,x,letter_input,1,0,100.0,
y =,y,letter_input,0,0,0.0,
z =,z,letter_input,0,0,0.0,
1 =,1,number_input,0,0,0.0,
2 =,2,number_input,4,1,80.0,
3 =,3,number_input,0,0,0.0,
4 =,4,number_input,1,0,100.0,
5 =,5,number_input,2,0,100.0,
6 =,6,number_input,2,1,66.66666666666666,
7 =,7,number_input,2,0,100.0,
8 =,8,number_input,3,0,100.0,
9 =,9,number_input,3,0,100.0,
10 =,10,number_input,0,0,0.0,
1+1 =,2,math,0,0,0.0,
2+0 =,2,math,0,0,0.0,
0+2= ,2,math,0,0,0.0,
1+2 =,3,math,0,0,0.0,
2+1 =,3,math,0,0,0.0,
0+3 =,3,math,0,0,0.0,
3+0 =,3,math,0,0,0.0,
2+2 =,4,math,1,0,100.0,
1+3 =,4,math,1,0,100.0,
3+1 =,4,math,0,0,0.0,
0+4 =,4,math,0,0,0.0,
4+0 =,4,math,0,0,0.0,
2+3 =,5,math,0,0,0.0,
3+2 =,5,math,1,0,100.0,
1+4 =,5,math,1,0,100.0,
4+1 =,5,math,0,0,0.0,
0+5 =,5,math,0,0,0.0,
5+0 =,5,math,0,0,0.0,
3+3 =,6,math,0,0,0.0,
床前明月光,疑是地上霜,唐诗,7,0,100.0,
bee,bee,word,3,1,75.0,https://previews.123rf.com/images/ruangdesign19/ruangdesign191905/ruangdesign19190500014/124365935-queen-bee-cartoon-with-crown-vector-illustration.jpg
tub,tub,word,0,1,0.0,https://thumbs.dreamstime.com/z/young-woman-taking-bath-16747478.jpg
table,table,word,2,0,100.0,http://photo.16pic.com/00/23/58/16pic_2358768_b.jpg
turtle,turtle,word,1,0,100.0,http://photo.16pic.com/00/31/77/16pic_3177184_b.jpg
apple,apple,word,0,1,0.0,http://photo.16pic.com/00/86/86/16pic_8686714_b.jpg
egg,egg,word,0,0,0.0,http://photo.16pic.com/00/46/03/16pic_4603504_b.jpg
earth,earth,word,0,0,0.0,http://photo.16pic.com/00/63/09/16pic_6309904_b.jpg
queen,queen,word,1,0,100.0,https://st2.depositphotos.com/4920461/11613/v/950/depositphotos_116133842-stock-illustration-queen-with-a-cake-cartoon.jpg
moon,moon,word,0,0,0.0,http://photo.16pic.com/00/88/14/16pic_8814759_b.jpg
leaf,leaf,word,1,0,100.0,http://img.16pic.com/00/86/42/16pic_8642545_s.jpg
girl,girl,word1,2,0,100.0,http://img.16pic.com/00/11/50/16pic_1150098_s.jpg
